id,topic,sentence
1,Science & Technology,"The theory of relativity was proposed by Albert Einstein in the early 20th century."
2,Science & Technology,"What is the chemical formula for water?"
3,Science & Technology,"Photosynthesis is the process plants use to convert light energy into chemical energy."
4,Science & Technology,"Explain the basic principles of quantum computing."
5,Science & Technology,"The human genome contains approximately 3 billion base pairs."
6,Science & Technology,"Black holes are regions of spacetime where gravity is so strong that nothing can escape."
7,Science & Technology,"How does a lithium-ion battery work?"
8,Science & Technology,"Artificial intelligence is rapidly transforming various industries."
9,Science & Technology,"Describe the process of volcanic eruption."
10,Science & Technology,"The James Webb Space Telescope allows us to see the early universe."
11,History & Geography,"The Roman Empire fell in 476 AD."
12,History & Geography,"Where is the ancient city of Machu Picchu located?"
13,History & Geography,"The Silk Road was a network of trade routes connecting the East and West."
14,History & Geography,"Who was the first woman to fly solo across the Atlantic Ocean?"
15,History & Geography,"The Nile River is the longest river in the world."
16,History & Geography,"Describe the major causes of the First World War."
17,History & Geography,"The Great Wall of China was built to protect against invasions."
18,History & Geography,"What is the capital of Australia?"
19,History & Geography,"The Amazon rainforest is the largest tropical rainforest on Earth."
20,History & Geography,"The Industrial Revolution began in Great Britain in the 18th century."
21,Arts & Literature,"Leonardo da Vinci painted the Mona Lisa."
22,Arts & Literature,"Who wrote the novel ""Pride and Prejudice""?"
23,Arts & Literature,"Shakespeare's plays are divided into tragedies, comedies, and histories."
24,Arts & Literature,"Describe the main characteristics of the Impressionist art movement."
25,Arts & Literature,"""The Great Gatsby"" is a critique of the American Dream."
26,Arts & Literature,"What is the significance of the ""I Have a Dream"" speech?"
27,Arts & Literature,"Beethoven's Symphony No. 5 is famous for its four-note opening motif."
28,Arts & Literature,"Recite the first line of ""Don Quixote""."
29,Arts & Literature,"The Harry Potter series has sold over 500 million copies worldwide."
30,Arts & Literature,"How has street art evolved over the past few decades?"
31,Health & Daily Life,"A balanced diet and regular exercise are crucial for good health."
32,Health & Daily Life,"How many hours of sleep does an average adult need?"
